Location,T2M,T2MWET,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS50M,WS50M_MAX,WS50M_MIN
Dhangadhi_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Gurashe Bazar_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Bhakunda Ground_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Badhara_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Urma_mean,25.51158251,18.54064858,25.16090903,32.18207724,19.92186403,49.15951867,3.016633897,98.14988956,2.549802745,4.155874242,1.037892116,3.739091605,5.70580466,1.494267475
Kunathari_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Boradadi_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Awal Parajul_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Rampur Bilaspur_mean,25.29814236,18.48442834,25.12036323,32.15834855,19.43136163,50.32579381,3.020616023,98.54294095,2.745412065,4.48022279,1.162951165,4.104530482,6.308992659,1.728032557
Ram Mandir_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
